@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
89.316735,14.853155,32.628104,7.905568,9.465,5.911431,3.996357,2.347129,2.735351,2.241032,1.743284,0.210528,0.988799,1.76894,1.219888,1.227466,1.325437,0.916818,0.647463,0.790849,1.06947,0.833758,1.153945,1.031429,0.663797,1.081155,1.01572,0.731945,0.946529,1.118796,0.583051,0.733007,1.332738,0.733007,0.583051,1.118796,0.946529,0.731945,1.01572,1.081155,0.663797,1.031429,1.153945,0.833758,1.06947,0.790849,0.647463,0.916818,1.325437,1.227466,1.219888,1.76894,0.988799,0.210528,1.743284,2.241032,2.735351,2.347129,3.996357,5.911431,9.465,7.905568,32.628104,14.853155,3.516299,walking
99.882598,3.464278,9.570231,11.296903,8.816223,6.239949,0.816177,1.439736,0.712331,0.486551,0.814941,0.678091,0.344095,0.165069,0.242584,0.233163,0.152285,0.393824,0.384083,0.335856,0.229635,0.414691,0.424023,0.32309,0.18572,0.313829,0.513371,0.313524,0.453636,0.054991,0.109665,0.11981,0.055333,0.11981,0.109665,0.054991,0.453636,0.313524,0.513371,0.313829,0.18572,0.32309,0.424023,0.414691,0.229635,0.335856,0.384083,0.393824,0.152285,0.233163,0.242584,0.165069,0.344095,0.678091,0.814941,0.486551,0.712331,1.439736,0.816177,6.239949,8.816223,11.296903,9.570231,3.464278,2.526499,walking
116.384852,19.846205,10.560385,2.897977,4.20594,9.616508,7.097642,5.039549,4.383122,3.163904,1.928439,1.821269,1.570435,1.672069,1.785438,1.610425,1.73024,1.523134,1.246089,1.21906,1.147952,1.031854,1.239509,1.300732,1.069243,1.296644,1.230269,1.144176,1.113356,0.993693,1.167976,1.14447,0.830241,1.14447,1.167976,0.993693,1.113356,1.144176,1.230269,1.296644,1.069243,1.300732,1.239509,1.031854,1.147952,1.21906,1.246089,1.523134,1.73024,1.610425,1.785438,1.672069,1.570435,1.821269,1.928439,3.163904,4.383122,5.039549,7.097642,9.616508,4.20594,2.897977,10.560385,19.846205,3.025068,walking
169.183535,49.985773,25.895764,24.543884,6.942526,13.178455,8.292099,3.38263,2.719482,0.252489,3.269629,1.72376,1.166308,1.578646,0.874705,1.25295,1.206438,1.257433,1.068328,0.868227,0.924679,0.874029,1.092944,0.765621,0.864367,0.841035,0.817497,0.660974,0.82234,0.831183,0.594118,0.449417,0.758243,0.449417,0.594118,0.831183,0.82234,0.660974,0.817497,0.841035,0.864367,0.765621,1.092944,0.874029,0.924679,0.868227,1.068328,1.257433,1.206438,1.25295,0.874705,1.578646,1.166308,1.72376,3.269629,0.252489,2.719482,3.38263,8.292099,13.178455,6.942526,24.543884,25.895764,49.985773,4.817877,walking
136.798576,22.31828,28.197717,29.466372,29.583413,17.669967,18.234647,11.253886,10.597926,9.531925,7.344517,7.569691,7.23193,6.562879,6.049077,5.715767,4.913818,5.080438,4.454006,4.987917,4.39463,4.351829,4.402024,4.317188,3.962437,4.137293,3.800072,3.675855,3.713746,4.047486,4.246358,3.523564,3.623324,3.523564,4.246358,4.047486,3.713746,3.675855,3.800072,4.137293,3.962437,4.317188,4.402024,4.351829,4.39463,4.987917,4.454006,5.080438,4.913818,5.715767,6.049077,6.562879,7.23193,7.569691,7.344517,9.531925,10.597926,11.253886,18.234647,17.669967,29.583413,29.466372,28.197717,22.31828,8.859368,walking
184.560727,41.079612,33.609475,37.683996,28.308824,27.185222,20.684242,16.275392,10.87682,6.397733,6.096723,6.249003,7.466673,7.761085,7.117809,6.511217,5.426676,4.312268,4.116363,3.761965,4.349565,4.973611,4.897716,4.733404,4.772719,4.386694,3.834579,3.465957,3.109205,3.20651,3.835502,3.967275,3.752323,3.967275,3.835502,3.20651,3.109205,3.465957,3.834579,4.386694,4.772719,4.733404,4.897716,4.973611,4.349565,3.761965,4.116363,4.312268,5.426676,6.511217,7.117809,7.761085,7.466673,6.249003,6.096723,6.397733,10.87682,16.275392,20.684242,27.185222,28.308824,37.683996,33.609475,41.079612,9.377365,walking
145.396136,42.165395,20.953175,24.557376,14.056791,2.792871,4.392189,3.967469,1.182033,0.970538,1.471607,1.2817,0.575038,1.061435,0.229696,0.293166,0.62696,0.488308,0.125943,0.709865,0.383649,0.323889,0.270445,0.363969,0.096961,0.234922,0.324486,0.425436,0.252596,0.345241,0.582411,0.3117,0.461916,0.3117,0.582411,0.345241,0.252596,0.425436,0.324486,0.234922,0.096961,0.363969,0.270445,0.323889,0.383649,0.709865,0.125943,0.488308,0.62696,0.293166,0.229696,1.061435,0.575038,1.2817,1.471607,0.970538,1.182033,3.967469,4.392189,2.792871,14.056791,24.557376,20.953175,42.165395,5.264627,walking
253.492625,64.793712,26.363135,4.961249,10.158525,2.060487,0.965322,1.290157,2.644497,1.48574,1.97058,2.282388,1.108961,1.872998,1.395546,1.302859,1.130986,1.314429,1.385462,0.828671,1.335711,1.221231,1.203091,1.202674,0.825186,0.940244,0.781015,1.129483,1.074827,0.797926,0.802571,0.69045,0.43712,0.69045,0.802571,0.797926,1.074827,1.129483,0.781015,0.940244,0.825186,1.202674,1.203091,1.221231,1.335711,0.828671,1.385462,1.314429,1.130986,1.302859,1.395546,1.872998,1.108961,2.282388,1.97058,1.48574,2.644497,1.290157,0.965322,2.060487,10.158525,4.961249,26.363135,64.793712,5.859437,walking
310.180722,125.070583,31.052702,17.891047,1.347045,6.685572,1.989945,2.674137,2.524139,0.774822,1.536016,0.575707,0.119912,0.825121,0.338148,0.21511,0.431969,0.358767,0.165214,0.148614,0.56411,0.470895,0.056787,0.436541,0.373015,0.134472,0.110598,0.102602,0.247417,0.374234,0.36444,0.114227,0.143597,0.114227,0.36444,0.374234,0.247417,0.102602,0.110598,0.134472,0.373015,0.436541,0.056787,0.470895,0.56411,0.148614,0.165214,0.358767,0.431969,0.21511,0.338148,0.825121,0.119912,0.575707,1.536016,0.774822,2.524139,2.674137,1.989945,6.685572,1.347045,17.891047,31.052702,125.070583,9.983421,walking
177.845422,14.61204,7.973754,16.539384,12.253172,3.665182,11.373245,6.919742,4.432847,4.108226,2.193639,1.75523,0.788206,0.26663,0.313211,0.966653,0.702029,0.236581,0.569487,0.382247,0.206458,0.284259,0.079462,0.198205,0.388855,0.661844,1.218236,0.637158,0.37187,0.262476,0.193158,0.240574,0.161001,0.240574,0.193158,0.262476,0.37187,0.637158,1.218236,0.661844,0.388855,0.198205,0.079462,0.284259,0.206458,0.382247,0.569487,0.236581,0.702029,0.966653,0.313211,0.26663,0.788206,1.75523,2.193639,4.108226,4.432847,6.919742,11.373245,3.665182,12.253172,16.539384,7.973754,14.61204,4.136387,walking
